at,name,state,sync,byte_lag,replay_s
38196.609522458,follower2,streaming,async,176.0,0.000305
38196.66421625,follower1,streaming,async,176.0,0.000491
38196.66421625,follower2,streaming,async,176.0,0.000165
38196.714443,follower1,streaming,async,176.0,4.3e-05
38196.714443,follower2,streaming,async,0.0,0.000189
38196.766221916,follower1,streaming,async,176.0,9.3e-05
38196.766221916,follower2,streaming,async,176.0,6.9e-05
38196.816877041,follower1,streaming,async,176.0,0.000179
38196.816877041,follower2,streaming,async,176.0,5.9e-05
38196.870784708,follower1,streaming,async,176.0,-1.0
38196.870784708,follower2,streaming,async,176.0,0.000199
38196.921614833,follower1,streaming,async,176.0,4.8e-05
38196.921614833,follower2,streaming,async,0.0,0.000191
38196.972849375,follower1,streaming,async,176.0,0.000126
38196.972849375,follower2,streaming,async,176.0,3.5e-05
38197.023583375,follower1,streaming,async,176.0,0.000176
38197.023583375,follower2,streaming,async,176.0,0.000221
38197.076634083,follower1,streaming,async,0.0,0.000302
38197.076634083,follower2,streaming,async,0.0,0.000243
38197.127268791,follower1,streaming,async,176.0,3.9e-05
38197.127268791,follower2,streaming,async,176.0,0.00017
38197.179024583,follower1,streaming,async,176.0,0.000322
38197.179024583,follower2,streaming,async,176.0,0.000327
38197.234233916,follower1,streaming,async,176.0,3.7e-05
38197.234233916,follower2,streaming,async,176.0,0.000193
38197.284647208,follower1,streaming,async,176.0,0.00016
38197.284647208,follower2,streaming,async,176.0,0.000208
38197.33982575,follower1,streaming,async,176.0,7.4e-05
38197.33982575,follower2,streaming,async,176.0,5.7e-05
38197.390162083,follower1,streaming,async,176.0,0.000215
38197.390162083,follower2,streaming,async,456.0,0.000231
38197.440762958,follower1,streaming,async,0.0,0.000162
38197.440762958,follower2,streaming,async,0.0,0.000195
38197.494153458,follower1,streaming,async,176.0,0.000366
38197.494153458,follower2,streaming,async,176.0,0.000321
38197.548468625,follower1,streaming,async,176.0,0.000101
38197.548468625,follower2,streaming,async,176.0,7.8e-05
38197.599623875,follower1,streaming,async,176.0,0.000226
38197.599623875,follower2,streaming,async,176.0,0.000181
38197.6502955,follower1,streaming,async,280.0,4e-05
38197.6502955,follower2,streaming,async,280.0,0.000178
38197.700757166,follower1,streaming,async,176.0,0.00021
38197.700757166,follower2,streaming,async,176.0,0.000207
38197.75104575,follower1,streaming,async,200.0,3.7e-05
38197.75104575,follower2,streaming,async,200.0,0.000388
38197.801867458,follower1,streaming,async,176.0,0.000283
38197.801867458,follower2,streaming,async,176.0,4.2e-05
38197.853745375,follower1,streaming,async,0.0,0.000203
38197.853745375,follower2,streaming,async,0.0,0.000161
38197.906116,follower1,streaming,async,176.0,3.5e-05
38197.906116,follower2,streaming,async,176.0,4.1e-05
38197.960924041,follower1,streaming,async,0.0,0.000321
38197.960924041,follower2,streaming,async,0.0,0.000344
38198.01233875,follower1,streaming,async,176.0,4.1e-05
38198.01233875,follower2,streaming,async,176.0,0.000176
38198.064982541,follower1,streaming,async,456.0,3.4e-05
38198.064982541,follower2,streaming,async,456.0,4.8e-05
38198.11935725,follower1,streaming,async,176.0,0.000203
38198.11935725,follower2,streaming,async,176.0,-1.0
38198.169601125,follower1,streaming,async,176.0,3.8e-05
38198.169601125,follower2,streaming,async,176.0,7.2e-05
38198.221309833,follower1,streaming,async,0.0,0.000222
38198.221309833,follower2,streaming,async,0.0,0.000176
38198.274155041,follower1,streaming,async,176.0,3.2e-05
38198.274155041,follower2,streaming,async,176.0,3.5e-05
38198.325815458,follower1,streaming,async,176.0,3.2e-05
38198.325815458,follower2,streaming,async,176.0,3.7e-05
38198.380430875,follower1,streaming,async,176.0,0.000183
38198.380430875,follower2,streaming,async,176.0,6.3e-05
38198.433557875,follower1,streaming,async,176.0,7.3e-05
38198.433557875,follower2,streaming,async,352.0,0.000302
38198.484085583,follower1,streaming,async,176.0,0.000164
38198.484085583,follower2,streaming,async,176.0,0.000211
38198.534420708,follower1,streaming,async,176.0,3.5e-05
38198.534420708,follower2,streaming,async,176.0,0.000362
38198.58899,follower1,streaming,async,176.0,0.000204
38198.58899,follower2,streaming,async,0.0,0.000186
38198.639319833,follower1,streaming,async,0.0,0.000202
38198.639319833,follower2,streaming,async,176.0,3.8e-05
38198.689821583,follower1,streaming,async,352.0,0.000204
38198.689821583,follower2,streaming,async,176.0,0.000224
38198.742709375,follower1,streaming,async,176.0,0.000433
38198.742709375,follower2,streaming,async,176.0,0.00042
38198.793447333,follower1,streaming,async,176.0,0.000173
38198.793447333,follower2,streaming,async,176.0,0.000223
38198.848498458,follower1,streaming,async,352.0,0.000182
38198.848498458,follower2,streaming,async,176.0,0.000171
38198.898818875,follower1,streaming,async,176.0,0.000181
38198.898818875,follower2,streaming,async,352.0,0.000273
38198.952682083,follower1,streaming,async,176.0,0.000183
38198.952682083,follower2,streaming,async,176.0,5.9e-05
38199.003562583,follower1,streaming,async,176.0,0.000354
38199.003562583,follower2,streaming,async,176.0,4.4e-05
38199.057620416,follower1,streaming,async,176.0,0.00021
38199.057620416,follower2,streaming,async,176.0,3.2e-05
38199.112401833,follower1,streaming,async,176.0,0.000454
38199.112401833,follower2,streaming,async,352.0,0.00043
38199.166703541,follower1,streaming,async,1112.0,0.00028
38199.166703541,follower2,streaming,async,176.0,5.6e-05
38199.221245416,follower1,streaming,async,176.0,6.7e-05
38199.221245416,follower2,streaming,async,176.0,0.000334
38199.271677916,follower1,streaming,async,0.0,0.000195
38199.271677916,follower2,streaming,async,0.0,0.000226
38199.324938166,follower1,streaming,async,280.0,7.5e-05
38199.324938166,follower2,streaming,async,280.0,3.6e-05
38199.378663083,follower1,streaming,async,0.0,0.000192
38199.378663083,follower2,streaming,async,176.0,0.000196
38199.431846208,follower1,streaming,async,176.0,0.00028
38199.431846208,follower2,streaming,async,176.0,0.000186
38199.485758958,follower1,streaming,async,176.0,0.000163
38199.485758958,follower2,streaming,async,176.0,0.000363
38199.53756775,follower1,streaming,async,176.0,8.6e-05
38199.53756775,follower2,streaming,async,176.0,0.00018
38199.588170958,follower1,streaming,async,176.0,0.000159
38199.588170958,follower2,streaming,async,176.0,0.000194
38199.640133625,follower1,streaming,async,176.0,4.6e-05
38199.640133625,follower2,streaming,async,176.0,0.000252
38199.694212208,follower1,streaming,async,200.0,6.2e-05
38199.694212208,follower2,streaming,async,200.0,3.8e-05
38199.745248708,follower1,streaming,async,176.0,4e-05
38199.745248708,follower2,streaming,async,176.0,3.6e-05
38199.79714225,follower1,streaming,async,176.0,0.000304
38199.79714225,follower2,streaming,async,176.0,9.2e-05
38199.8476765,follower1,streaming,async,176.0,0.000232
38199.8476765,follower2,streaming,async,0.0,0.000173
38199.900084875,follower1,streaming,async,176.0,0.000354
38199.900084875,follower2,streaming,async,352.0,4.7e-05
38199.954611958,follower1,streaming,async,176.0,0.000121
38199.954611958,follower2,streaming,async,176.0,5.5e-05
38200.00516125,follower1,streaming,async,280.0,4.8e-05
38200.00516125,follower2,streaming,async,0.0,0.000203
38200.059289791,follower1,streaming,async,352.0,0.000591
38200.059289791,follower2,streaming,async,176.0,0.00018
38200.109765291,follower1,streaming,async,176.0,0.000389
38200.109765291,follower2,streaming,async,176.0,5.6e-05
38200.163343666,follower1,streaming,async,176.0,0.000198
38200.163343666,follower2,streaming,async,176.0,0.000189
38200.21362525,follower1,streaming,async,0.0,-1.0
38200.21362525,follower2,streaming,async,176.0,7.6e-05
38200.263902333,follower1,streaming,async,176.0,5.9e-05
38200.263902333,follower2,streaming,async,176.0,4e-05
38200.318974041,follower1,streaming,async,0.0,0.000202
38200.318974041,follower2,streaming,async,0.0,0.000228
38200.371090041,follower1,streaming,async,176.0,0.000183
38200.371090041,follower2,streaming,async,176.0,5.5e-05
38200.421372,follower1,streaming,async,0.0,0.000213
38200.421372,follower2,streaming,async,0.0,0.000198
38200.474986875,follower1,streaming,async,280.0,0.000191
38200.474986875,follower2,streaming,async,280.0,3.6e-05
38200.525811333,follower1,streaming,async,176.0,0.000209
38200.525811333,follower2,streaming,async,176.0,5e-05
38200.579999333,follower1,streaming,async,176.0,0.000222
38200.579999333,follower2,streaming,async,176.0,0.000206
38200.632345458,follower1,streaming,async,176.0,4.4e-05
38200.632345458,follower2,streaming,async,176.0,4.6e-05
38200.6826905,follower1,streaming,async,176.0,7.1e-05
38200.6826905,follower2,streaming,async,176.0,0.000193
38200.733151583,follower1,streaming,async,176.0,0.000214
38200.733151583,follower2,streaming,async,176.0,0.000205
38200.783566041,follower1,streaming,async,176.0,3.9e-05
38200.783566041,follower2,streaming,async,176.0,4.8e-05
38200.833987166,follower1,streaming,async,0.0,0.000205
38200.833987166,follower2,streaming,async,0.0,0.000186
38200.8845545,follower1,streaming,async,376.0,0.00065
38200.8845545,follower2,streaming,async,376.0,4.5e-05
38200.935197,follower1,streaming,async,0.0,0.000241
38200.935197,follower2,streaming,async,0.0,0.000192
38200.987887916,follower1,streaming,async,176.0,0.000194
38200.987887916,follower2,streaming,async,176.0,6.1e-05
38201.039605041,follower1,streaming,async,176.0,6.2e-05
38201.039605041,follower2,streaming,async,176.0,4.1e-05
38201.094219666,follower1,streaming,async,176.0,0.000344
38201.094219666,follower2,streaming,async,0.0,0.000395
38201.144815375,follower1,streaming,async,176.0,3.9e-05
38201.144815375,follower2,streaming,async,176.0,0.000255
38201.197526916,follower1,streaming,async,176.0,0.000456
38201.197526916,follower2,streaming,async,176.0,0.000101
38201.249610583,follower1,streaming,async,176.0,8.5e-05
38201.249610583,follower2,streaming,async,176.0,0.000152
38201.300298875,follower1,streaming,async,176.0,4.8e-05
38201.300298875,follower2,streaming,async,176.0,0.000203
38201.351463416,follower1,streaming,async,176.0,0.000183
38201.351463416,follower2,streaming,async,176.0,0.000214
38201.401849708,follower1,streaming,async,176.0,3.7e-05
38201.401849708,follower2,streaming,async,176.0,0.000253
38201.4521545,follower1,streaming,async,176.0,0.000183
38201.4521545,follower2,streaming,async,176.0,0.000191
38201.505217958,follower1,streaming,async,176.0,0.000198
38201.505217958,follower2,streaming,async,176.0,7.1e-05
38201.556252791,follower1,streaming,async,0.0,0.000381
38201.556252791,follower2,streaming,async,0.0,0.000479
38201.609665875,follower2,streaming,async,176.0,0.000113
38201.664239041,follower2,streaming,async,176.0,8.4e-05
38201.718810125,follower2,streaming,async,176.0,0.000209
38201.7691705,follower2,streaming,async,176.0,0.000129
38201.820484833,follower2,streaming,async,352.0,5.1e-05
38201.871484,follower2,streaming,async,176.0,4.8e-05
38201.921738416,follower2,streaming,async,0.0,0.000158
38201.972055375,follower2,streaming,async,0.0,0.000144
38202.022367916,follower2,streaming,async,0.0,0.000162
38202.076270375,follower2,streaming,async,176.0,0.000331
38202.127171041,follower2,streaming,async,176.0,5e-05
38202.177409041,follower2,streaming,async,176.0,0.000141
38202.227827875,follower2,streaming,async,176.0,0.000285
38202.282229833,follower2,streaming,async,352.0,0.000326
38202.336815791,follower2,streaming,async,176.0,0.000221
38202.38736925,follower2,streaming,async,176.0,0.000139
38202.439726333,follower2,streaming,async,176.0,5.9e-05
38202.494158833,follower2,streaming,async,176.0,0.000307
38202.54489775,follower2,streaming,async,176.0,5.1e-05
38202.595199416,follower2,streaming,async,176.0,4.5e-05
38202.64560725,follower2,streaming,async,0.0,0.000167
38202.695883166,follower2,streaming,async,176.0,0.000162
38202.748978041,follower2,streaming,async,176.0,0.000206
38202.803384583,follower2,streaming,async,176.0,3.8e-05
38202.858629833,follower2,streaming,async,176.0,0.00026
38202.9129765,follower2,streaming,async,176.0,0.000168
38202.967339416,follower2,streaming,async,0.0,0.000157
38203.022164666,follower2,streaming,async,176.0,0.000148
38203.073226583,follower2,streaming,async,0.0,0.000157
38203.127992166,follower2,streaming,async,176.0,5.1e-05
38203.179188083,follower2,streaming,async,176.0,0.000167
38203.233591708,follower2,streaming,async,176.0,0.000144
38203.288122125,follower2,streaming,async,176.0,8e-05
38203.342860666,follower2,streaming,async,0.0,0.000148
38203.395187916,follower2,streaming,async,0.0,0.000175
38203.445749125,follower2,streaming,async,280.0,0.000158
38203.500425875,follower2,streaming,async,176.0,0.000136
38203.552209125,follower2,streaming,async,176.0,4.2e-05
38203.603972791,follower2,streaming,async,176.0,0.000203
38203.658595708,follower2,streaming,async,176.0,0.000135
38203.713175166,follower2,streaming,async,0.0,0.000155
38203.763427458,follower2,streaming,async,176.0,0.00017
38203.815474541,follower2,streaming,async,176.0,6.5e-05
38203.865952,follower2,streaming,async,176.0,0.000156
38203.918839208,follower2,streaming,async,176.0,5.7e-05
38203.969182875,follower2,streaming,async,0.0,0.000188
38204.021591583,follower2,streaming,async,0.0,0.000138
38204.072106666,follower2,streaming,async,176.0,0.000157
38204.122439166,follower2,streaming,async,176.0,0.000165
38204.173809625,follower2,streaming,async,176.0,0.000322
38204.227639041,follower2,streaming,async,176.0,9.5e-05
38204.28213775,follower2,streaming,async,176.0,9.4e-05
38204.336661416,follower2,streaming,async,176.0,0.000162
38204.387207583,follower2,streaming,async,176.0,0.000168
38204.437495333,follower2,streaming,async,176.0,0.000143
38204.488328875,follower2,streaming,async,176.0,0.000535
38204.542849083,follower2,streaming,async,176.0,0.000144
38204.597483375,follower2,streaming,async,176.0,0.000174
38204.652236666,follower2,streaming,async,280.0,0.000421
38204.706899666,follower2,streaming,async,0.0,0.000176
38204.760995958,follower2,streaming,async,176.0,0.000327
38204.811477541,follower2,streaming,async,176.0,0.000147
