at,name,state,sync,byte_lag,replay_s
22140.936893125,follower1,streaming,async,176.0,0.000237
22140.936893125,follower2,streaming,async,176.0,0.000167
22141.191599125,follower1,streaming,async,280.0,6.6e-05
22141.191599125,follower2,streaming,async,280.0,7.3e-05
22141.44496025,follower1,streaming,async,176.0,0.000345
22141.44496025,follower2,streaming,async,176.0,0.000381
22141.700267166,follower1,streaming,async,176.0,0.000199
22141.700267166,follower2,streaming,async,352.0,3.7e-05
22141.953980333,follower1,streaming,async,176.0,0.000339
22141.953980333,follower2,streaming,async,176.0,5.3e-05
22142.208537375,follower1,streaming,async,176.0,3.8e-05
22142.208537375,follower2,streaming,async,176.0,6.3e-05
22142.459505375,follower1,streaming,async,0.0,0.000194
22142.459505375,follower2,streaming,async,176.0,5.4e-05
22142.710596625,follower1,streaming,async,176.0,0.000207
22142.710596625,follower2,streaming,async,352.0,5.9e-05
22142.964277208,follower1,streaming,async,352.0,5e-05
22142.964277208,follower2,streaming,async,176.0,0.000175
22143.214684958,follower1,streaming,async,280.0,0.000467
22143.214684958,follower2,streaming,async,280.0,0.000106
22143.469188791,follower1,streaming,async,0.0,0.00038
22143.469188791,follower2,streaming,async,352.0,6.2e-05
22143.720159375,follower1,streaming,async,352.0,0.000209
22143.720159375,follower2,streaming,async,176.0,0.000182
22143.973004583,follower1,streaming,async,176.0,0.00022
22143.973004583,follower2,streaming,async,176.0,0.000159
22144.225330333,follower1,streaming,async,176.0,0.000162
22144.225330333,follower2,streaming,async,176.0,4.3e-05
22144.4779905,follower1,streaming,async,176.0,6.8e-05
22144.4779905,follower2,streaming,async,176.0,4.7e-05
22144.732827458,follower1,streaming,async,176.0,0.000243
22144.732827458,follower2,streaming,async,176.0,6.1e-05
22144.985200875,follower1,streaming,async,176.0,0.000432
22144.985200875,follower2,streaming,async,176.0,5.8e-05
22145.239740125,follower1,streaming,async,176.0,0.000166
22145.239740125,follower2,streaming,async,176.0,0.000157
22145.494151041,follower1,streaming,async,0.0,0.000217
22145.494151041,follower2,streaming,async,0.0,0.000201
22145.749473666,follower1,streaming,async,176.0,7.1e-05
22145.749473666,follower2,streaming,async,176.0,0.000234
22146.000200583,follower1,streaming,async,176.0,0.000156
